Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Returns,,,,,
26-May-15,8377.1,8378.9,8320.05,8339.35,120428892,5908.3,-0.000569751,,,,,
27-May-15,8302.75,8342.85,8277.95,8334.6,170583401,8131.59,-0.001873469,,,,,
28-May-15,8345.7,8364.5,8270.15,8319,239549060,11449.91,0.0136876,,,,,
29-May-15,8327.1,8443.9,8305.7,8433.65,375232198,20736.2,-2.96E-05,,,,,
01-Jun-15,8417.25,8467.15,8405.4,8433.4,125990614,7254.01,-0.023630586,,,,,
02-Jun-15,8442.8,8445.35,8226.05,8236.45,151337661,8083.17,-0.012381393,,,,,
03-Jun-15,8232.45,8236.7,8094.15,8135.1,176661646,7920.26,-0.000547162,,,,,
04-Jun-15,8155.15,8160.05,8056.75,8130.65,159470840,7560.49,-0.001963639,,,,,
05-Jun-15,8119.15,8191,8100.15,8114.7,167055308,7588.4,-0.008732113,,,,,
08-Jun-15,8124.35,8131,8030.55,8044.15,140075743,6230.61,-0.00270749,,,,,
09-Jun-15,8026.5,8057.15,8005.15,8022.4,140217686,6442.05,0.012640405,,,,,
10-Jun-15,8024.15,8152.25,8023.8,8124.45,141030200,6790.27,-0.019777149,,,,,
11-Jun-15,8157.3,8163.05,7958.25,7965.35,171348959,7868.44,0.002200869,,,,,
12-Jun-15,7959.85,7995.6,7940.3,7982.9,140839875,6737.25,0.00387578,,,,,
15-Jun-15,7986.6,8057.7,7944.85,8013.9,137116389,6129.12,0.004159097,,,,,
16-Jun-15,8004.2,8061.85,7952.35,8047.3,127809460,5923.8,0.005483676,,,,,
17-Jun-15,8084.2,8136.85,8048.95,8091.55,157205716,7878.66,0.010211479,,,,,
18-Jun-15,8113.7,8186.9,8101.8,8174.6,149266110,7767.77,0.006140432,,,,,
19-Jun-15,8201.15,8250.8,8195.65,8224.95,151575997,7722.05,0.01546051,,,,,
22-Jun-15,8259.3,8369.45,8257.4,8353.1,126542473,6163.02,0.003400134,,,,,
23-Jun-15,8377.45,8398.45,8334.95,8381.55,135844708,6437.33,-0.002472765,,,,,
24-Jun-15,8399.4,8421.35,8338.9,8360.85,134062733,7175.22,0.004433486,,,,,
25-Jun-15,8336.25,8423.15,8329.5,8398,207421340,9911.16,-0.002014411,,,,,
26-Jun-15,8393.95,8408.55,8339.7,8381.1,113959476,5848.78,-0.007509242,,,,,
29-Jun-15,8247.05,8329.45,8195.65,8318.4,136106699,6604.12,0.006004728,,,,,
30-Jun-15,8316.35,8378,8298.95,8368.5,163366250,8425.52,0.010052666,,,,,
01-Jul-15,8376.25,8481.6,8370.15,8453.05,135887471,6938.05,-0.000964614,,,,,
02-Jul-15,8471.95,8479.25,8433.2,8444.9,115472141,6065.26,0.004725404,,,,,
03-Jul-15,8440.1,8497.75,8424.15,8484.9,91142979,4983.21,0.004380543,,,,,
06-Jul-15,8386.15,8533.15,8386.15,8522.15,104578132,5517.86,-0.001332711,,,,,
07-Jul-15,8525.5,8561.35,8483.85,8510.8,126038231,6054.41,-0.017512752,,,,,
08-Jul-15,8439.2,8457.5,8341.4,8363.05,193886999,8876.81,-0.004133822,,,,,
09-Jul-15,8364.85,8400.3,8323,8328.55,135358659,6610.4,0.003834843,,,,,
10-Jul-15,8365.7,8377.1,8315.4,8360.55,158883926,8128.47,0.011783587,,,,,
13-Jul-15,8397.25,8471.65,8355.4,8459.65,121380175,6506.28,-0.000656271,,,,,
14-Jul-15,8470.6,8480.25,8424.1,8454.1,104893796,5454.41,0.00821072,,,,,
15-Jul-15,8463.4,8531.4,8462.95,8523.8,108835522,5805.53,0.009835561,,,,,
16-Jul-15,8546.15,8616.1,8542.9,8608.05,119637042,6544.15,0.000209085,,,,,
17-Jul-15,8623.65,8642.95,8593.15,8609.85,108190401,5713.13,-0.000743611,,,,,
20-Jul-15,8623.9,8624.1,8559,8603.45,93439295,5107.62,-0.008638404,,,,,
21-Jul-15,8601.5,8646.75,8517.9,8529.45,169151098,10699.52,0.012125104,,,,,
22-Jul-15,8512.25,8643.9,8498.65,8633.5,141018383,7427.34,-0.005074532,,,,,
23-Jul-15,8643.95,8654.75,8573.8,8589.8,136962516,7747.81,-0.007977204,,,,,
24-Jul-15,8588.15,8589.15,8513.5,8521.55,131344832,6942.22,-0.019020212,,,,,
27-Jul-15,8492.1,8492.2,8351.55,8361,140828066,7353.09,-0.002874598,,,,,
28-Jul-15,8371.1,8397.4,8321.75,8337,179983810,8403.15,0.004553608,,,,,
29-Jul-15,8365.6,8381.5,8338.45,8375.05,145399010,7232.34,0.005566534,,,,,
30-Jul-15,8417,8458.9,8408.3,8421.8,221939186,10007.3,0.013099838,,,,,
31-Jul-15,8456.1,8548.95,8448,8532.85,209629301,9522.19,0.001194666,,,,,
03-Aug-15,8510.65,8563.95,8508.1,8543.05,161485758,7738.1,-0.003065662,,,,,
04-Aug-15,8564.1,8565.15,8448.25,8516.9,193226091,9003.82,0.005976073,,,,,
05-Aug-15,8547.45,8591.85,8545.85,8567.95,136948290,6434.82,0.002413067,,,,,
06-Aug-15,8585.8,8606.3,8551.5,8588.65,139116393,6595.25,-0.002804135,,,,,
07-Aug-15,8580.8,8595.95,8552.7,8564.6,148073594,6528.28,-0.004564027,,,,,
10-Aug-15,8577,8621.55,8497.8,8525.6,127194886,5780.49,-0.007446489,,,,,
11-Aug-15,8548.45,8556.25,8441.3,8462.35,159192694,7049.29,-0.013431244,,,,,
12-Aug-15,8445.7,8446.95,8337.95,8349.45,195904304,8630.35,0.000766224,,,,,
13-Aug-15,8384.45,8429.5,8339.75,8355.85,195079107,7840.58,0.019284246,,,,,
14-Aug-15,8402.35,8530.1,8381.2,8518.55,160680260,7090.58,-0.004854136,,,,,
17-Aug-15,8530.5,8530.6,8428.05,8477.3,180083830,6543.01,-0.001268897,,,,,
18-Aug-15,8505.85,8525.75,8433.6,8466.55,157991554,6501.24,0.003372307,,,,,
19-Aug-15,8468.05,8520.45,8425.95,8495.15,134512114,6338.67,-0.014513028,,,,,
20-Aug-15,8471.05,8501.35,8359.75,8372.75,189841783,9193.19,-0.008732894,,,,,
21-Aug-15,8305.4,8322.2,8225.05,8299.95,207542070,9606.33,-0.060972576,,,,,
24-Aug-15,8055.95,8060.05,7769.4,7809,322096413,13856.66,0.009139818,,,,,
25-Aug-15,7895.4,7925.4,7667.25,7880.7,308255265,13420.76,-0.011338417,,,,,
26-Aug-15,7865.25,7930.05,7777.1,7791.85,223261362,10207.56,0.019961529,,,,,
27-Aug-15,7921.6,7963.6,7862.3,7948.95,314422773,14282.73,0.006645418,,,,,
28-Aug-15,8053.7,8091.8,7961.65,8001.95,201572450,8641.87,-0.003837671,,,,,
31-Aug-15,8009.25,8043.6,7947.95,7971.3,204254629,9547.7,-0.023539608,,,,,
01-Sep-15,7907.95,7929.1,7746.5,7785.85,190581167,8633.26,-0.008882296,,,,,
02-Sep-15,7856.65,7862.55,7699.25,7717,222003483,9794.29,0.013642425,,,,,
03-Sep-15,7774.45,7845.6,7754.05,7823,160609681,7060.37,-0.021702552,,,,,
04-Sep-15,7803.4,7804.9,7626.85,7655.05,199569987,8200.69,-0.012653113,,,,,
07-Sep-15,7685.85,7705.05,7545.9,7558.8,145763902,5768.15,0.016980742,,,,,
08-Sep-15,7587.7,7720.9,7539.5,7688.25,177514609,7380.17,0.016812321,,,,,
09-Sep-15,7805.85,7846.05,7764.55,7818.6,214842731,8550.1,-0.003908583,,,,,
